;rev_id;prediction
10393;750138485;Stub
10394;750140065;Stub
10395;750140120;Stub
10396;750140319;Stub
10397;750140832;Stub
10398;750141017;Stub
10399;750141154;Stub
10400;750141347;Stub
10401;750141555;Stub
10402;750141582;Stub
10403;750142271;Stub
10404;750142654;Stub
10405;750142753;Stub
10406;750147253;Stub
10407;750151708;Start
10408;750152011;Stub
10409;750152142;Stub
10410;750152254;Start
10411;750155448;Stub
10412;750155886;Stub
10413;750156208;Stub
10414;750157027;Start
10415;750157051;Stub
10416;750157071;Stub
10417;750157314;Stub
10418;750158374;B
10419;750159107;Stub
10420;750159706;Stub
10421;750161768;Stub
10422;750162565;Stub
10423;750166867;Start
10424;750167873;Start
10425;750168721;Stub
10426;750172891;Stub
10427;750175321;Stub
10428;750179637;Stub
10429;750183892;Start
10430;750185733;Stub
10431;750186613;Start
10432;750187621;Stub
10433;750189442;Start
10434;750215826;Start
10435;750217119;Stub
10436;750224976;Start
10437;750232499;C
10438;750237493;Start
10440;750277729;Stub
10441;750283545;Start
10442;750290559;Stub
10443;750299694;Start
10444;750301806;Start
10445;750305231;Stub
10446;750306681;Stub
10447;750306785;Stub
10448;750308917;Stub
10449;750308941;Start
10450;750330000;Start
10451;750331166;Stub
10452;750331178;Stub
10453;750332847;Stub
10454;750333000;Start
10455;750333095;Stub
10456;750333379;Start
10457;750333444;Start
10458;750338831;Start
10459;750347412;Start
10460;750348066;Stub
10461;750350470;Start
10462;750354996;C
10463;750355726;Stub
10464;750357494;Start
10465;750367269;Start
10466;750368963;Stub
10467;750369150;Stub
10468;750369690;Start
10469;750371072;B
10470;750372398;Start
10471;750377520;Start
10472;750392824;C
10473;750398357;Stub
10474;750423258;Stub
10475;750427135;Stub
10476;750428716;Stub
10477;750428736;Stub
10478;750428952;Stub
10479;750436001;Start
10480;750490005;Start
10481;750491714;Stub
10482;750492768;Stub
10483;750493046;Stub
10484;750497122;Stub
10485;750498097;Stub
10486;750525069;Stub
10487;750529490;Stub
10488;750535372;Stub
10489;750541084;Start
10490;750544170;Stub
10491;750544980;Start
10492;750549549;Stub
10493;750561890;Start
10494;750575351;Start
10495;750577548;Start
10496;750583822;Stub
10497;750595459;C
10498;750602367;Stub
10499;750607043;Stub
10500;750620750;Stub
10501;750621474;Stub
10502;750629406;Stub
10503;750634566;Start
10504;750637295;C
10505;750638829;Start
10506;750640764;Stub
10507;750645665;Stub
10508;750646472;Stub
