;rev_id;prediction
20435;783381425;Start
20436;783381457;Start
20437;783381498;Start
20438;783381525;Start
20439;783381573;Start
20440;783381714;Start
20441;783381797;Stub
20442;783381925;B
20443;783381990;B
20444;783382043;C
20445;783382630;-1
20446;783384312;Stub
20447;783385197;Start
20448;783386543;Stub
20449;783388567;Start
20450;783389300;Stub
20451;783390350;Stub
20452;783392814;Stub
20453;783399199;Stub
20454;783405075;Stub
20455;783405405;Stub
20456;783406498;Stub
20457;783406951;Stub
20458;783408259;Stub
20459;783419710;Start
20460;783419899;Stub
20461;783419906;Start
20462;783423815;Stub
20463;783424239;Start
20464;783425867;Stub
20465;783428726;Start
20466;783429088;C
20467;783430480;Stub
20468;783431530;Stub
20469;783432695;Stub
20470;783433028;Stub
20471;783434948;Start
20472;783438473;Stub
20473;783438483;Start
20474;783439515;Start
20475;783440162;Start
20476;783443340;C
20477;783446830;Start
20478;783448411;Start
20479;783449036;Start
20480;783449396;Start
20481;783453531;Start
20482;783454472;Start
20483;783455479;Start
20484;783457288;Start
20485;783459085;Stub
20486;783462162;Start
20487;783463317;Stub
20488;783468540;Stub
20489;783469185;Start
20490;783469347;Stub
20491;783471753;Start
20492;783472679;Start
20493;783472877;Stub
20494;783473697;Stub
20495;783477649;Stub
20496;783479486;Start
20497;783481889;Stub
20498;783482015;Stub
20499;783486983;Stub
20500;783487432;Stub
20501;783488194;Stub
20502;783488273;Stub
20503;783488489;Stub
20504;783488579;Start
20505;783488640;Start
20506;783489667;Start
20507;783496449;Start
20508;783497022;Stub
20509;783498374;Stub
20510;783500239;Stub
20511;783501424;Start
20512;783503058;Start
20513;783505381;Stub
20514;783505886;GA
20515;783506010;Stub
20516;783510155;C
20517;783510620;C
20518;783511097;Stub
20519;783511207;Stub
20520;783511832;Stub
20521;783514171;Stub
20522;783514617;Stub
20523;783524054;Stub
20524;783525567;Stub
20525;783527330;Start
20526;783532215;Stub
20527;783532378;Stub
20528;783532382;Stub
20529;783533626;Stub
20530;783534154;Start
20531;783534612;Stub
20532;783534851;Stub
20533;783534880;Stub
20534;783535084;Stub
