;rev_id;prediction
40801;803190758;C
40802;803191273;Stub
40803;803191344;Stub
40804;803191566;C
40805;803192276;Start
40806;803192708;Start
40807;803195751;Start
40808;803196029;C
40809;803197337;Start
40810;803198174;C
40811;803198465;C
40812;803199083;Stub
40813;803200362;Stub
40814;803206765;Start
40815;803207638;B
40816;803210700;Start
40817;803215769;Start
40818;803217085;Start
40819;803217308;Start
40820;803217606;Start
40821;803219693;Stub
40822;803220594;GA
40823;803220688;Start
40824;803220880;Stub
40825;803223574;C
40826;803225655;Stub
40827;803225661;C
40828;803225667;C
40829;803225795;GA
40830;803226341;Stub
40831;803228103;C
40832;803230439;C
40833;803233164;C
40834;803234173;Start
40835;803236744;Start
40836;803236910;Start
40837;803239146;C
40838;803239334;Stub
40839;803239531;Start
40840;803239903;Start
40841;803240511;C
40842;803242059;Start
40843;803242304;C
40844;803242310;C
40845;803242408;Start
40846;803244280;Stub
40847;803246012;C
40848;803248122;Stub
40849;803248922;Start
40850;803249143;Stub
40851;803249369;Start
40852;803249764;Start
40853;803250659;Start
40854;803251763;Start
40855;803253593;Start
40856;803254529;Stub
40857;803257014;GA
40858;803260461;Start
40859;803260813;Stub
40860;803261339;Stub
40861;803261400;Start
40862;803261968;Start
40863;803263113;Start
40864;803264530;Stub
40865;803265175;Start
40866;803267161;Stub
40867;803267497;Start
40868;803274144;Stub
40869;803276784;Stub
40870;803277194;Start
40871;803277250;Start
40872;803278735;C
40873;803279076;Stub
40874;803280154;Stub
40875;803280488;Stub
40876;803280806;Stub
40877;803280841;C
40878;803281038;GA
40879;803282748;Start
40880;803283238;Start
40881;803283816;Stub
40882;803285122;Start
40883;803285779;C
40884;803287932;B
40885;803288472;B
40886;803289828;Start
40887;803290431;GA
40888;803291528;C
40889;803291629;Start
40890;803291657;Start
40891;803292166;Start
40892;803294020;Start
40893;803294527;Stub
40894;803295897;Stub
40895;803298752;Start
40896;803300602;C
40897;803300682;Start
40898;803301403;C
40899;803302503;Stub
40900;803302597;Start
40901;803303116;C
40902;803304465;Start
40903;803306591;GA
40904;803306594;Stub
40905;803306876;Start
40906;803307184;GA
40907;803307197;C
40908;803308332;Start
40909;803309174;Stub
40910;803314691;Stub
40911;803315343;Start
40912;803315818;C
40913;803317036;Stub
40914;803319558;C
40915;803324351;Stub
40916;803325525;Stub
40917;803326270;GA
40918;803328007;C
40919;803328250;Start
40920;803328528;Start
40921;803328707;Start
40922;803328817;Start
40923;803328841;Stub
40924;803328854;Start
40925;803329075;Start
40926;803330007;FA
40927;803331098;B
40928;803332354;C
40929;803333173;Start
40930;803333498;Start
40931;803335436;C
40932;803336359;FA
40933;803336424;FA
40934;803336732;Stub
40935;803340486;Start
40936;803341014;Start
40937;803341103;C
40938;803342043;B
40939;803344928;Start
40940;803345272;Stub
40941;803346558;Stub
40942;803346570;Start
40943;803346943;Start
40944;803347551;C
40945;803350521;C
40946;803351111;Start
40947;803352125;Start
40948;803352263;Stub
40949;803352301;Stub
40950;803354261;Start
40951;803358471;Start
40952;803359917;Start
40953;803360897;Stub
40954;803361517;Stub
40955;803363506;C
40956;803364152;Start
40957;803364874;C
40958;803367024;Start
40959;803367518;C
40960;803367951;Start
40961;803370233;C
40962;803370283;C
40963;803371197;Stub
40964;803371432;Stub
40965;803373329;Start
40966;803374653;Start
40967;803378653;C
40968;803378715;C
40969;803379431;Stub
40970;803381759;Stub
40971;803381945;C
40972;803383030;Stub
40973;803384904;Stub
40974;803389809;Start
40975;803390850;Stub
40976;803391797;Start
40977;803392432;C
40978;803394793;C
40979;803396028;Stub
40980;803397193;C
40981;803398761;C
40982;803398957;Stub
40983;803399424;Stub
40984;803399931;Stub
40985;803402874;C
40986;803403039;Start
40987;803406472;Start
40988;803406857;C
40989;803409972;Start
40990;803410540;Stub
40991;803410552;C
40992;803410866;C
40993;803411172;Start
40994;803413615;-1
40995;803414235;Start
40996;803414654;Start
40997;803415076;Start
40998;803415510;GA
40999;803415614;C
41000;803416102;Start
41001;803416400;C
41002;803417044;Start
41003;803417110;Start
41004;803419082;C
41005;803419173;Start
41006;803419541;C
41007;803419611;C
41008;803419995;Stub
41009;803420001;Stub
41010;803420029;Start
41011;803420882;Start
41012;803421005;Stub
41013;803421580;C
41014;803421986;C
41015;803422241;B
41016;803423180;Stub
41017;803423575;Stub
41018;803423837;C
41019;803424318;Stub
41020;803425364;B
41021;803427654;Stub
41022;803431198;Start
41023;803431766;FA
41024;803433107;C
41025;803433440;B
41026;803434077;Start
41027;803434833;Start
41028;803435110;FA
41029;803435455;Start
41030;803435832;C
41031;803438779;Stub
41032;803439326;C
41033;803439644;C
41034;803440216;Stub
41035;803440441;GA
41036;803440687;GA
41037;803440940;C
41038;803442630;Stub
41039;803443644;Start
41040;803444183;Stub
41041;803445253;C
41042;803446263;Stub
41043;803447510;Stub
41044;803448107;Start
41045;803448464;Stub
41046;803450878;Start
41047;803451102;Start
41048;803451151;Stub
41049;803453891;B
41050;803454087;B
41051;803454667;Stub
41052;803458906;Stub
41053;803459602;Start
41054;803459894;C
41055;803459992;Start
41056;803460164;C
41057;803464104;Start
41058;803464160;Start
41059;803464985;Start
41060;803465528;C
41061;803466025;Start
41062;803466232;C
41063;803466392;Start
41064;803469075;C
41065;803469952;B
41066;803471321;Start
41067;803471435;Start
41068;803473842;Stub
41069;803474056;Start
41070;803474906;Start
41071;803476894;Stub
41072;803478360;Stub
41073;803479052;Stub
41074;803481048;Stub
41075;803482086;Start
41076;803483367;Start
41077;803483446;Start
41078;803484030;-1
41079;803486475;Stub
41080;803492965;FA
41081;803493681;Stub
41082;803499703;Start
41083;803499767;Start
41084;803500124;Stub
41085;803500313;C
41086;803500866;Stub
41087;803502478;C
41088;803502597;C
41089;803503382;Stub
41090;803505142;Start
41091;803505449;Start
41092;803506701;Stub
41093;803506826;Stub
41094;803507528;Stub
41095;803508089;GA
41096;803508279;Start
41097;803510837;Stub
41098;803514994;Stub
41099;803517166;Stub
41100;803518102;Stub
41101;803518946;C
41102;803521362;Start
41103;803521939;Stub
41104;803524537;C
41105;803527796;Stub
41106;803529130;C
41107;803533780;GA
41108;803535184;Start
41109;803536286;Start
41110;803538786;Start
41111;803540174;Start
41112;803541161;C
41113;803543127;C
41114;803543154;C
41115;803545053;Start
41116;803548292;Start
41117;803550981;Stub
41118;803551005;Stub
41119;803551013;Stub
41120;803551089;Stub
41121;803551514;B
41122;803552116;Stub
41123;803553330;Stub
41124;803553831;Start
41125;803554134;Stub
41126;803554531;C
41127;803556199;Stub
41128;803556416;Stub
41129;803556847;Start
41130;803557078;Stub
41131;803557443;Stub
41132;803557518;Start
41133;803557606;Start
41134;803558208;C
41135;803558240;Stub
41136;803558388;Stub
41137;803558467;Start
41138;803558652;C
41139;803558837;C
41140;803559007;Stub
41141;803559111;Start
41142;803559255;GA
41143;803564120;Start
41144;803566094;Stub
41145;803566248;Start
41146;803566873;B
41147;803568163;Start
41148;803569441;C
41149;803570014;C
41150;803570986;Start
41151;803571217;Start
41152;803572306;C
41153;803573135;Start
41154;803574094;C
41155;803577004;Stub
41156;803578090;C
41157;803578206;Start
41158;803578957;Stub
41159;803579259;Start
41160;803582812;Start
41161;803583209;C
41162;803586149;Start
41163;803587144;Stub
41164;803589126;C
41165;803589265;Start
41166;803590415;C
41167;803590550;C
41168;803591770;Stub
41169;803591869;C
41170;803594169;C
41171;803594791;Start
41172;803597228;Stub
41173;803597238;Start
41174;803597329;Stub
41175;803597719;Start
41176;803598562;Start
41177;803599612;C
41178;803599995;Stub
41179;803600005;Start
41180;803600029;Start
41181;803601556;C
41182;803602553;Start
41183;803608092;Start
41184;803609950;C
41185;803610442;Start
41186;803610960;Start
41187;803611018;Stub
41188;803611453;Start
41189;803612787;C
41190;803612934;Stub
41191;803612978;Start
41192;803613319;Stub
41193;803614498;Stub
41194;803614734;Start
41195;803614766;Start
41196;803615320;C
41197;803615694;Start
41198;803615826;C
41199;803617426;Start
41200;803617686;Start
41201;803618569;C
41202;803618918;GA
41203;803619692;Stub
41204;803620246;C
41205;803620715;C
41206;803621657;C
41207;803622430;Stub
41208;803622762;Stub
41209;803624949;Start
41210;803624982;C
41211;803630374;Start
41212;803634180;B
41213;803637838;Start
41214;803638786;Start
