;rev_id;prediction
30765;793050599;Start
30766;793051551;Start
30767;793052019;C
30768;793052312;Start
30769;793052778;C
30770;793053467;Start
30771;793070297;Stub
30772;793071652;Stub
30773;793071897;Stub
30774;793072072;Stub
30775;793073762;Stub
30776;793073818;Start
30777;793077256;Stub
30778;793078045;Stub
30779;793081195;C
30780;793082601;Start
30781;793083145;C
30782;793083538;Stub
30783;793083866;Start
30784;793087579;Stub
30785;793087836;Start
30786;793092275;Stub
30787;793096074;Stub
30788;793096179;Start
30789;793099357;Start
30790;793100368;Start
30791;793101119;Stub
30792;793102072;Start
30793;793102410;Stub
30794;793107823;Stub
30795;793108551;Start
30796;793110506;Start
30797;793114229;Stub
30798;793116399;Stub
30799;793119264;Stub
30800;793120607;Start
30801;793120698;Start
30802;793123637;Stub
30803;793126462;Start
30804;793129536;Start
30805;793132259;Start
30806;793132604;Start
30807;793133021;Stub
30808;793133118;Start
30809;793134819;Start
30810;793134850;Stub
30811;793134897;Stub
30812;793135040;Start
30813;793135244;Stub
30814;793135410;Start
30815;793135581;Stub
30816;793135648;Start
30817;793136062;Start
30818;793136154;Stub
30819;793136268;Stub
30820;793136372;Start
30821;793136452;Stub
30822;793136542;Start
30823;793136621;Stub
30824;793137192;Stub
30825;793137377;Stub
30826;793137591;Start
30827;793138028;Start
30828;793138185;Start
30829;793139281;Start
30830;793139425;Start
30831;793139578;Stub
30832;793139815;GA
30833;793140052;Stub
30834;793140192;Stub
30835;793141129;Stub
30836;793141196;Start
30837;793143106;C
30838;793143855;Stub
30839;793145699;Stub
30840;793147290;Stub
30841;793149172;Stub
30842;793150859;Start
30843;793151099;Start
30844;793151253;Start
30845;793151360;Start
30846;793151425;Stub
30847;793152042;Stub
30848;793152133;FA
30849;793152586;Stub
30850;793154991;Start
30851;793155345;Start
30852;793156987;Stub
30853;793166201;Stub
30854;793167034;Stub
30855;793167978;Start
30856;793170384;Start
30857;793172804;Stub
30858;793175042;Stub
30859;793175257;Stub
30860;793176269;Start
30861;793176334;Start
30862;793176556;Start
30863;793177440;B
30864;793177509;Stub
30865;793177854;Start
30866;793178396;Start
30867;793178403;Stub
30868;793178822;Start
30869;793179072;Stub
30870;793179984;Start
30871;793180413;Start
30872;793181756;Stub
30873;793182778;C
30874;793183106;Start
30875;793183530;Stub
30876;793183704;Stub
30877;793184176;Start
30878;793184352;Stub
30879;793184472;Start
30880;793184987;Stub
30881;793185689;Stub
30882;793186559;Start
30883;793186778;C
30884;793187330;C
30885;793188742;Stub
30886;793191732;Stub
30887;793192466;C
30888;793192855;Stub
30889;793193581;Start
30890;793195192;C
30891;793195228;FA
30892;793195527;Stub
30893;793195658;Start
30894;793195755;Stub
30895;793195835;Stub
30896;793196615;Start
30897;793197088;Start
30898;793197546;Stub
30899;793197878;C
30900;793202961;Start
30901;793203455;Start
30902;793204498;Start
30903;793207168;Start
30904;793209526;Start
30905;793210822;Stub
30906;793211851;Stub
30907;793214112;Start
30908;793216415;C
30909;793216451;Stub
30910;793216514;Stub
30911;793216860;Stub
30912;793216890;Stub
30913;793217757;Stub
30914;793218160;C
30915;793218288;Stub
30916;793218721;Stub
30917;793221391;Stub
30918;793221762;Start
30919;793222263;Stub
30920;793222606;C
30921;793224044;C
30922;793225033;Stub
30923;793230605;Stub
30924;793231217;Stub
30925;793231417;Start
30926;793231952;Stub
30927;793232084;Start
30928;793232622;Stub
30929;793232711;Start
30930;793234219;Stub
30931;793238357;Start
30932;793238785;Stub
30933;793240078;Stub
30934;793240749;Start
30935;793244092;Start
30936;793247653;C
30937;793253777;C
30938;793255523;Start
30939;793256720;Start
30940;793262065;Stub
30941;793264615;C
30942;793265109;Start
30943;793267813;Stub
30944;793268091;GA
30945;793270555;Stub
30946;793270640;B
30947;793271877;Stub
30948;793273023;C
30949;793276089;Start
30950;793277402;Start
30951;793280367;C
30952;793280504;-1
30953;793286976;Start
30954;793290509;Stub
30955;793293189;Stub
30956;793294077;Start
30957;793294213;Start
30958;793294478;Start
30959;793295238;C
30960;793299996;C
30961;793300027;Stub
30962;793300106;C
30963;793300132;Start
30964;793300907;C
30965;793301004;Stub
30966;793301082;C
30967;793302748;Stub
30968;793302932;Start
30969;793306598;Stub
30970;793306686;Stub
30971;793307115;Stub
30972;793307934;Start
30973;793308508;Stub
30974;793308562;Start
30975;793309995;Start
30976;793310170;Start
30977;793313389;Stub
30978;793317318;Stub
30979;793318120;C
30980;793321290;C
30981;793332386;Stub
30982;793332713;Stub
30983;793333888;Stub
30984;793339062;Start
30985;793340626;Stub
30986;793341128;Start
30987;793341226;Stub
30988;793341456;Stub
30989;793341720;Stub
30990;793342174;Start
30991;793342317;Stub
30992;793342332;C
30993;793346845;Start
30994;793349539;Start
30996;793349843;Start
30997;793350678;Start
30998;793350730;Stub
30999;793350781;Stub
31000;793350796;Stub
31001;793351204;Start
31002;793353035;Start
31003;793353218;Stub
31004;793353221;C
31005;793353435;Start
31006;793354600;Stub
31007;793354769;Stub
31008;793355768;C
31009;793357674;Start
31010;793359998;Stub
31011;793360231;Stub
31012;793360527;Stub
31013;793360910;Start
31015;793361636;Start
31016;793364442;C
31017;793373278;Stub
31018;793373557;Stub
31019;793373963;C
31020;793374491;Start
31021;793375669;Stub
31022;793379186;Start
31023;793379292;C
31024;793379382;Stub
31025;793379641;Stub
31026;793379788;Stub
31027;793380768;Start
31028;793382385;GA
31029;793382831;C
31030;793383352;Start
31031;793384100;Start
31032;793385784;Start
31033;793387568;Stub
31034;793388907;C
31035;793391302;Stub
31036;793392231;Start
31037;793392356;Start
31038;793392820;Start
31039;793394960;Start
31040;793396708;Stub
31041;793400966;C
31042;793401486;Stub
31043;793401602;Stub
31044;793401963;Stub
31045;793403978;C
31046;793404203;C
31047;793405177;Start
31048;793405839;Stub
31049;793407222;Stub
31050;793407511;Stub
31051;793408340;Stub
31052;793408351;Stub
31053;793408368;Stub
31054;793408387;Stub
31055;793408401;Stub
31056;793408421;Stub
31057;793408432;Stub
31058;793408646;Stub
31059;793408663;Stub
31060;793408677;Stub
31061;793408697;Stub
31062;793408713;Stub
31063;793408722;Stub
31064;793408738;Stub
31065;793408754;Stub
31066;793408844;Stub
31067;793408869;Stub
31068;793408894;Stub
31069;793408912;Stub
31070;793408989;Stub
31071;793409013;Stub
31072;793409023;Stub
31073;793409031;Stub
31074;793409051;Stub
31075;793409065;Stub
31076;793409087;Stub
31077;793409104;Stub
31078;793409197;Stub
31079;793409214;Stub
31080;793409229;Stub
31081;793409241;Stub
31082;793409271;Stub
31083;793409304;Stub
31084;793409372;Stub
31085;793409382;Stub
31086;793409421;Stub
31087;793409431;Stub
31088;793409462;Stub
31089;793409517;Start
31090;793409660;Start
31091;793409841;Stub
31092;793409847;Stub
31093;793409878;Stub
31094;793409922;Stub
31095;793409998;Stub
31096;793410018;Stub
31097;793410060;Stub
31098;793410070;Stub
31099;793410090;Stub
31100;793410674;Start
31101;793411567;Start
31102;793415133;Start
31103;793418547;C
31104;793419161;Stub
31105;793425545;Start
31106;793426093;B
31107;793426204;Start
31108;793426536;Start
31109;793426822;Start
31110;793428048;Stub
31111;793429853;Start
31112;793432827;Start
31113;793432916;Start
31114;793432926;Stub
31115;793433456;Start
31116;793436210;Stub
31117;793438522;Start
31118;793441487;Start
31119;793442848;Start
31120;793444024;Stub
31121;793444580;Start
31122;793444890;Start
31123;793445713;C
31124;793447028;Start
31125;793447149;Stub
31126;793447172;Stub
31127;793447191;Stub
31128;793448833;Start
31129;793450705;Stub
31130;793451538;Start
31131;793451715;Stub
31132;793454583;Start
31133;793455259;B
31134;793457102;Start
31135;793459089;Start
31136;793463084;Stub
31137;793463971;Stub
31138;793468416;Stub
31139;793478248;Stub
31140;793482276;Start
31141;793489983;Start
31142;793494347;Start
31143;793495374;Start
31144;793495557;Start
31145;793497726;C
31146;793501093;Stub
31147;793502021;GA
31148;793503471;Start
31149;793504489;Start
31150;793507071;Stub
31151;793507323;Stub
31152;793508543;Stub
31153;793508623;Start
31154;793509534;Start
31155;793509733;Start
31156;793509843;Stub
31157;793510178;Start
31158;793514456;Stub
31159;793515881;Start
31160;793516802;Stub
31161;793517152;Stub
31162;793523629;Stub
31163;793523953;Stub
31164;793524431;Start
31165;793525143;Stub
31166;793525152;Start
31167;793531133;Stub
31168;793533728;C
31169;793534266;Stub
31170;793536789;B
31171;793539141;Start
31172;793539164;Start
31173;793539776;Start
31174;793540547;Stub
31175;793543212;GA
31176;793545519;C
31177;793546132;Start
31178;793547842;Stub
31179;793548617;Start
31180;793548866;Stub
31181;793552931;Start
31182;793553685;C
31183;793556594;Start
31184;793556687;Stub
31185;793556884;Stub
31186;793563392;Stub
31187;793565299;Stub
31188;793568960;B
31189;793569007;Start
31190;793569027;Start
31191;793569987;Stub
31192;793572228;Stub
31193;793573674;GA
31194;793574345;Stub
31195;793574665;C
31196;793574838;Stub
31197;793575259;Start
31198;793575913;Start
31199;793578865;Stub
31200;793578953;Stub
31201;793579022;Stub
31202;793580175;B
31203;793580969;Stub
31204;793580986;Start
31205;793582724;Start
31206;793582825;Stub
31207;793584116;Start
31208;793585288;Start
31209;793585442;Start
31210;793586800;Stub
31211;793588934;Start
31212;793591184;Stub
31213;793591958;Stub
31214;793592512;Stub
31215;793593672;Stub
31216;793596197;Stub
31217;793597475;Stub
31218;793597998;Start
31219;793598306;Start
31220;793601385;C
31221;793602431;Start
31222;793602806;Stub
31223;793606654;Stub
31224;793606724;Stub
31225;793606886;C
31226;793608174;Stub
31227;793608363;Start
31228;793613477;Stub
31229;793616142;Start
31230;793616726;Stub
31231;793624162;Start
31232;793628029;Start
31233;793629309;C
31234;793629884;Stub
31235;793630419;Stub
31236;793630677;Start
31237;793632365;Stub
31238;793634358;Stub
31239;793635987;Start
31240;793637406;Stub
31241;793637895;C
31242;793639661;C
31243;793640297;Stub
31244;793640414;Stub
31245;793641463;Start
31246;793642670;C
31247;793642926;C
31248;793643575;Stub
31249;793644087;Stub
31250;793652598;Stub
31251;793653679;Start
31252;793653769;Stub
31253;793653856;Start
31254;793653905;Start
31255;793654049;Start
31256;793654150;Stub
31257;793654576;Start
31258;793656364;Stub
31259;793657111;Stub
31260;793657296;Start
31261;793658481;Stub
31262;793660106;Stub
31263;793661293;Stub
31264;793663465;Start
31265;793666413;C
31266;793666485;Stub
31267;793666936;C
31268;793667330;Stub
31269;793667630;Start
31270;793668525;Start
31271;793668954;Stub
31272;793669152;Start
31273;793674409;Start
31274;793674654;C
31275;793676759;C
31276;793677019;Stub
31277;793677481;Start
31278;793677948;Stub
31279;793678534;Start
31280;793681215;Stub
31281;793682367;Stub
31282;793682391;Stub
31283;793682835;Start
31284;793682848;Start
31285;793684445;C
31286;793686074;Stub
31287;793688448;C
31288;793690148;Stub
31289;793692033;Stub
31290;793698226;C
31291;793699061;Stub
31292;793700227;Stub
31293;793700374;Stub
31294;793700570;Stub
31295;793700795;Start
31296;793704011;Stub
31297;793705354;Stub
31298;793707308;Start
31299;793707954;Start
31300;793709493;Stub
31301;793711092;Stub
31302;793716347;Start
31304;793718269;Start
31305;793718332;Stub
31306;793718347;Stub
31307;793718419;Stub
31308;793718428;Start
31309;793718615;Stub
31310;793719856;Stub
31311;793722117;Stub
31312;793723115;Start
31313;793727908;C
31314;793731739;Start
31315;793731815;Start
31316;793733139;Start
31317;793733221;Stub
31318;793737693;C
31319;793738070;Stub
31320;793738749;Stub
31321;793746447;Start
31322;793747161;C
31323;793748545;Stub
31324;793749992;Start
31325;793750972;Stub
31326;793750975;Start
31327;793755425;Stub
31328;793780837;Start
31329;793783449;Stub
31330;793784273;C
31331;793784408;Stub
31332;793785334;Start
31333;793786438;C
31334;793788134;Start
31335;793789459;Start
31336;793789902;B
31337;793790432;Start
31338;793790552;C
31339;793793722;Stub
31340;793793853;Start
31341;793794392;Start
31342;793796106;Stub
31343;793797424;Stub
31344;793797501;Start
31345;793805888;Start
31346;793807953;Stub
31347;793810268;C
31348;793811301;Stub
31349;793811654;Stub
31350;793811975;C
31351;793812189;Start
31352;793812212;Start
31353;793812440;Stub
31354;793812564;Start
31355;793812585;Stub
31356;793812734;Stub
31357;793813362;B
31358;793813745;Stub
31359;793813838;Start
31360;793814551;Stub
31361;793814810;Start
31362;793814925;Stub
31363;793814978;Start
31364;793815532;Start
31365;793815905;C
31366;793817713;C
31367;793819426;Start
31368;793819920;Start
31369;793820093;Start
31370;793820850;Start
31371;793822645;Start
31372;793822837;Start
31373;793825081;Stub
31374;793828598;C
31375;793830567;Start
31376;793833263;Start
31377;793836367;Start
31378;793836391;Stub
31379;793837573;Stub
31380;793838128;Stub
31381;793838540;Start
31382;793838991;Stub
31383;793839950;FA
31384;793841355;C
31385;793841446;Stub
31386;793844176;C
31387;793851414;Stub
31388;793856342;Stub
31389;793859830;C
31390;793861949;C
31391;793863847;Stub
31392;793864144;Start
31393;793864850;C
31394;793865496;Stub
31395;793869492;Stub
31396;793874255;C
31397;793877282;Start
31398;793877403;Stub
31399;793882257;Stub
31400;793882440;Stub
31401;793882540;Stub
31402;793885842;Stub
31403;793885917;Stub
31404;793888953;Start
31405;793891904;C
31406;793892906;Stub
31407;793896344;Start
31408;793896767;Stub
31409;793898588;Start
31410;793899445;Start
31411;793901217;Start
31412;793901823;Start
31413;793902400;Start
31414;793905396;C
31415;793909337;Stub
31416;793911642;C
31417;793911779;Stub
31418;793913490;C
31419;793913901;Stub
31420;793915352;Start
31421;793915429;Start
31422;793919066;Stub
31423;793920567;Start
31424;793920627;C
31425;793922357;C
31426;793925216;Start
31427;793925565;Start
31428;793926721;Stub
31429;793936764;Start
31430;793936930;Start
31431;793937076;C
31432;793937971;Start
31433;793942879;Stub
31434;793944091;Stub
31435;793945814;Start
31436;793946113;Start
31437;793947308;Stub
31438;793948787;Stub
31439;793950185;Start
