;rev_id;prediction
1;355319463;Stub
10;393276188;Stub
12;393822005;Stub
23;395521877;Stub
24;395526568;Stub
25;401577829;Stub
44;442937236;Stub
105;448555418;Stub
111;470173494;Start
114;477962574;Stub
117;492060822;Stub
118;492964343;Stub
122;498683267;Stub
123;502721672;C
126;516633096;-1
128;521986779;Stub
145;532253442;Stub
205;543225630;Stub
210;545936100;Stub
211;546364151;Start
219;549300521;Stub
222;550682925;-1
223;550953646;Stub
229;559553872;Stub
230;559788982;Stub
238;560758943;Stub
245;561744402;Stub
259;564873005;Stub
260;565745353;Stub
261;565745365;Stub
262;565745375;Stub
265;566504165;Stub
271;573710096;B
272;574571582;Stub
273;576988466;Stub
286;585894477;Stub
290;592289232;Stub
294;595693452;Start
295;596181202;Start
296;598819900;Start
297;601122766;Stub
298;601127343;Start
308;614786300;Start
321;623004627;Stub
322;623334577;Stub
324;624468970;Stub
325;625509885;Start
326;626606789;Stub
327;627001041;Stub
328;627051151;Stub
329;627432937;Stub
330;627547024;-1
331;628261896;Stub
332;628268705;Stub
333;628270736;Stub
334;628312759;Stub
335;628379479;Stub
336;628563978;Stub
337;628619000;Stub
338;628766656;Stub
339;628988952;Stub
340;629562076;Stub
341;629818376;Stub
342;630396351;Stub
343;630396786;Stub
344;630704768;Stub
346;631437331;Stub
347;631581752;Start
348;632008524;Start
349;632261377;Stub
350;632447328;Stub
352;633612729;Start
354;634032715;B
357;635240253;Stub
358;635814126;Stub
359;636911471;Stub
361;637801253;Stub
363;638214719;Stub
364;638362866;Stub
365;638377138;Stub
366;638566016;Start
367;638571205;Stub
368;638599355;Start
369;639021339;Stub
370;639061161;Start
371;639471171;Stub
372;640014648;Stub
373;640214913;Stub
374;640826254;Stub
375;641422326;Stub
381;643410335;Start
383;643746000;Stub
384;643932216;Start
385;643932220;Start
386;643932225;Start
387;643932226;Start
388;643932239;Start
389;643932242;Start
390;644024203;Stub
391;644041882;Stub
392;644399375;Stub
393;645225697;Start
394;645408814;Stub
398;647367482;Start
399;647450883;Stub
400;647483021;Stub
403;647832959;Stub
404;647893858;Stub
406;648048611;Stub
407;648271473;Stub
410;650458255;Stub
411;650462344;Stub
414;650494773;Stub
415;651250302;Stub
417;651785828;Stub
418;651856758;Stub
420;653467222;Stub
421;653527941;Stub
422;653895210;Stub
423;654012510;Stub
424;655031906;Stub
425;655032578;Stub
426;655390291;Stub
427;655980284;Stub
428;656352211;Stub
429;656386131;Stub
430;656737492;Stub
431;657176628;Start
432;658939122;Stub
433;659315526;Stub
434;660214915;Start
436;660579437;Stub
437;660884852;Start
439;662681733;Start
440;662927043;Start
441;663088604;Stub
442;663166199;Stub
443;663348266;Stub
444;663572469;Stub
445;663617582;Stub
446;663783398;Stub
447;663880497;Stub
449;664532059;Stub
450;664669156;Stub
451;664787336;Stub
452;664793790;Stub
453;664814622;Stub
454;664822251;Stub
456;666029819;Stub
457;666596918;Stub
458;666610075;Start
459;666752677;Stub
465;667194771;Stub
466;667198201;Start
467;667815878;Start
468;667821864;C
469;667873261;Start
470;667906849;Start
471;668091068;Stub
472;668095014;Stub
473;668258382;Stub
474;668449610;Stub
480;668830946;Stub
497;669266906;Stub
498;669301445;Stub
499;669387487;Start
500;669444168;Stub
501;669565720;Stub
502;669571173;Stub
503;669719757;Stub
504;669831602;Stub
505;669833212;Stub
506;669833349;Stub
507;669835390;Stub
508;669841183;Stub
509;669855022;Stub
510;669862709;Stub
511;669869895;Stub
512;669981316;Stub
513;669985109;Stub
514;669987106;Stub
515;670134982;Stub
516;670210734;Start
517;670462475;Stub
519;670893206;Stub
520;670917017;Stub
521;670960027;Stub
522;670971940;Stub
523;671016281;Stub
524;671023940;Stub
525;671029717;Stub
526;671032132;Stub
527;671047987;Stub
528;671073599;Stub
529;671122320;Start
530;671189093;Stub
531;671338098;Stub
532;671338216;Stub
533;671455150;Stub
534;671461616;Stub
535;671462644;Stub
536;671473289;Stub
537;671475479;Stub
538;671483959;Stub
539;671484594;-1
540;671511760;Stub
541;671515606;Stub
542;671516033;Stub
543;671637265;Stub
544;671868722;Stub
545;671890885;Stub
546;671891037;Stub
547;671895550;Stub
548;671897239;Stub
549;671903264;Stub
550;672119030;Stub
551;672156082;Stub
552;672284154;Stub
553;672515581;Stub
554;672547562;Stub
